fecha;provincia;destino;valor_fob_usd;participacion_pct;fuente
2025-07;NOA;Bélgica;9014000;0.07;DNPEM + cálculo propio
2025-07;NOA;China;75994000;0.589;DNPEM + cálculo propio
2025-07;NOA;Estados Unidos;25724000;0.199;DNPEM + cálculo propio
2025-07;NOA;Resto;18268000;0.142;DNPEM + cálculo propio
2025-07;San Juan;India;10791000;0.101;DNPEM + cálculo propio
2025-07;San Juan;Suiza;93106000;0.87;DNPEM + cálculo propio
2025-07;San Juan;Resto;3103000;0.029;DNPEM + cálculo propio
2025-07;Santa Cruz;Canadá;22149315;0.114;DNPEM + cálculo propio
2025-07;Santa Cruz;Estados Unidos;68234914;0.352;DNPEM + cálculo propio
2025-07;Santa Cruz;Suiza;103615770;0.534;DNPEM + cálculo propio
2025-07;Santa Cruz;Resto;0;0;DNPEM + cálculo propio
2025-08;NOA;China;65553368;0.596;DNPEM + cálculo propio
2025-08;NOA;Estados Unidos;38322243;0.348;DNPEM + cálculo propio
2025-08;NOA;Suiza;6124389;0.056;DNPEM + cálculo propio
2025-08;NOA;Resto;0;0;DNPEM + cálculo propio
2025-08;San Juan;India;63946000;0.587;DNPEM + cálculo propio
2025-08;San Juan;Suiza;42864000;0.393;DNPEM + cálculo propio
2025-08;San Juan;Resto;2190000;0.02;DNPEM + cálculo propio
2025-08;Santa Cruz;Canadá;29187000;0.149;DNPEM + cálculo propio
2025-08;Santa Cruz;Estados Unidos;64564000;0.329;DNPEM + cálculo propio
2025-08;Santa Cruz;Suiza;72499000;0.37;DNPEM + cálculo propio
2025-08;Santa Cruz;Resto;29750000;0.152;DNPEM + cálculo propio
2025-09;NOA;China;139242879;0.774;DNPEM + cálculo propio
2025-09;NOA;Corea del Sur;8835620;0.049;DNPEM + cálculo propio
2025-09;NOA;Estados Unidos;31921501;0.177;DNPEM + cálculo propio
2025-09;NOA;Resto;0;0;DNPEM + cálculo propio
2025-09;San Juan;India;138823000;0.978;DNPEM + cálculo propio
2025-09;San Juan;Suiza;30000;0;DNPEM + cálculo propio
2025-09;San Juan;Resto;3147000;0.022;DNPEM + cálculo propio
2025-09;Santa Cruz;Canadá;30827000;0.136;DNPEM + cálculo propio
