fecha;provincia;producto;valor_fob_usd;participacion_pct;fuente
2025-06;Santa Cruz;Oro;76388000;0.676;DNPEM
2025-06;Santa Cruz;Plata;36386000;0.322;DNPEM
2025-06;Santa Cruz;Resto;226000;0.002;DNPEM
2025-06;San Juan;Oro;179634000;0.987;DNPEM
2025-06;San Juan;Cales;2184000;0.012;DNPEM
2025-06;San Juan;Resto;182000;0.001;DNPEM
2025-06;NOA;Litio;38270000;0.43;DNPEM
2025-06;NOA;Oro;25988000;0.292;DNPEM
2025-06;NOA;Plata;15753000;0.177;DNPEM
2025-06;NOA;Resto;8989000;0.101;DNPEM
2025-07;Santa Cruz;Oro;168974000;0.871;DNPEM
2025-07;Santa Cruz;Plata;24832000;0.128;DNPEM
2025-07;Santa Cruz;Resto;194000;0.001;DNPEM
2025-07;San Juan;Oro;103683000;0.969;DNPEM
2025-07;San Juan;Cales;3103000;0.029;DNPEM
2025-07;San Juan;Resto;214000;0.002;DNPEM
2025-07;NOA;Litio;50955000;0.395;DNPEM
2025-07;NOA;Oro;27090000;0.21;DNPEM
2025-07;NOA;Plata;36765000;0.285;DNPEM
2025-07;NOA;Resto;14190000;0.11;DNPEM
2025-08;Santa Cruz;Oro;166796000;0.851;DNPEM
2025-08;Santa Cruz;Plata;29008000;0.148;DNPEM
2025-08;Santa Cruz;Resto;196000;0.001;DNPEM
2025-08;San Juan;Oro;106275000;0.975;DNPEM
2025-08;San Juan;Cales;2507000;0.023;DNPEM
2025-08;San Juan;Resto;218000;0.002;DNPEM
2025-08;NOA;Litio;56320000;0.512;DNPEM
2025-08;NOA;Oro;33550000;0.305;DNPEM
2025-08;NOA;Plata;8030000;0.073;DNPEM
2025-08;NOA;Resto;12100000;0.11;DNPEM
2025-09;Santa Cruz;Oro;202496000;0.896;DNPEM
2025-09;Santa Cruz;Plata;23278000;0.103;DNPEM
2025-09;Santa Cruz;Resto;226000;0.001;DNPEM
2025-09;San Juan;Oro;138876000;0.978;DNPEM
2025-09;San Juan;Cales;2982000;0.021;DNPEM
2025-09;San Juan;Resto;142000;0.001;DNPEM
2025-09;NOA;Litio;88560000;0.492;DNPEM
2025-09;NOA;Oro;32040000;0.178;DNPEM
2025-09;NOA;Plata;43740000;0.243;DNPEM
2025-09;NOA;Resto;15660000;0.087;DNPEM
2025-10;Santa Cruz;Oro;233776000;0.769;DNPEM
2025-10;Santa Cruz;Plata;68400000;0.225;DNPEM
2025-10;Santa Cruz;Resto;1824000;0.006;DNPEM
2025-10;San Juan;Oro;148104000;0.968;DNPEM
2025-10;San Juan;Cales;4437000;0.029;DNPEM
2025-10;San Juan;Resto;459000;0.003;DNPEM
2025-10;NOA;Litio;105635000;0.571;DNPEM
2025-10;NOA;Oro;41995000;0.227;DNPEM
2025-10;NOA;Plata;26085000;0.141;DNPEM
2025-10;NOA;Resto;11285000;0.061;DNPEM
2025-11;Santa Cruz;Oro;206283000;0.893;DNPEM
2025-11;Santa Cruz;Plata;23793000;0.103;DNPEM
2025-11;Santa Cruz;Resto;924000;0.004;DNPEM
2025-11;San Juan;Oro;129542000;0.974;DNPEM
2025-11;San Juan;Plata;2394000;0.018;DNPEM
2025-11;San Juan;Resto;1064000;0.008;DNPEM
2025-11;NOA;Litio;74314000;0.509;DNPEM
2025-11;NOA;Oro;29638000;0.203;DNPEM
2025-11;NOA;Plata;31974000;0.219;DNPEM
2025-11;NOA;Resto;10074000;0.069;DNPEM
2025-12;Santa Cruz;Oro;215667000;0.773;DNPEM
2025-12;Santa Cruz;Plata;62217000;0.223;DNPEM
2025-12;Santa Cruz;Resto;1116000;0.004;DNPEM
2025-12;San Juan;Oro;136488000;0.968;DNPEM
2025-12;San Juan;Cales;4089000;0.029;DNPEM
2025-12;San Juan;Resto;423000;0.003;DNPEM
2025-12;NOA;Litio;104082000;0.627;DNPEM
2025-12;NOA;Oro;25564000;0.154;DNPEM
2025-12;NOA;Plata;25398000;0.153;DNPEM
2025-12;NOA;Resto;10956000;0.066;DNPEM
2026-01;Santa Cruz;Oro;317200000;0.793;DNPEM
2026-01;Santa Cruz;Plata;82400000;0.206;DNPEM
2026-01;Santa Cruz;Resto;400000;0.001;DNPEM
2026-01;San Juan;Oro;230608000;0.994;DNPEM
2026-01;San Juan;Resto;1392000;0.006;DNPEM
2026-01;NOA;Litio;96320000;0.56;DNPEM
2026-01;NOA;Oro;33196000;0.193;DNPEM
2026-01;NOA;Plata;33368000;0.194;DNPEM
2026-01;NOA;Resto;9116000;0.053;DNPEM
2026-02;Santa Cruz;Oro;246404000;0.916;DNPEM
2026-02;Santa Cruz;Plata;22327000;0.083;DNPEM
2026-02;Santa Cruz;Resto;269000;0.001;DNPEM
2026-02;San Juan;Oro;166152000;0.966;DNPEM
2026-02;San Juan;Plata;4644000;0.027;DNPEM
2026-02;San Juan;Resto;1204000;0.007;DNPEM
2026-02;NOA;Litio;160176000;0.752;DNPEM
2026-02;NOA;Oro;27051000;0.127;DNPEM
2026-02;NOA;Plata;17040000;0.08;DNPEM
2026-02;NOA;Resto;8733000;0.041;DNPEM
2026-03;Santa Cruz;Oro;276488000;0.856;DNPEM
2026-03;Santa Cruz;Plata;46189000;0.143;DNPEM
2026-03;Santa Cruz;Resto;323000;0.001;DNPEM
2026-03;San Juan;Oro;206336000;0.992;DNPEM
2026-03;San Juan;Resto;1664000;0.008;DNPEM
2026-03;NOA;Litio;182182000;0.637;DNPEM
2026-03;NOA;Oro;48906000;0.171;DNPEM
2026-03;NOA;Plata;44902000;0.157;DNPEM
2026-03;NOA;Resto;10010000;0.035;DNPEM
2026-04;Santa Cruz;Oro;251966000;0.881;DNPEM
2026-04;Santa Cruz;Plata;34034000;0.119;DNPEM
2026-04;Santa Cruz;Resto;0;0;DNPEM
2026-04;San Juan;Oro;230670000;0.99;DNPEM
2026-04;San Juan;Resto;2330000;0.01;DNPEM
2026-04;NOA;Litio;187330000;0.655;DNPEM
2026-04;NOA;Metalíferos;90662000;0.317;DNPEM
2026-04;NOA;Resto;8008000;0.028;DNPEM
2026-05;Santa Cruz;Oro;225928000;0.911;DNPEM
2026-05;Santa Cruz;Plata;21824000;0.088;DNPEM
2026-05;Santa Cruz;Resto;248000;0.001;DNPEM
2026-05;San Juan;Oro;112632000;0.988;DNPEM
2026-05;San Juan;Resto;1368000;0.012;DNPEM
2026-05;NOA;Litio;187167000;0.701;DNPEM
2026-05;NOA;Metalíferos;71022000;0.266;DNPEM
2026-05;NOA;Resto;8811000;0.033;DNPEM
