fecha;provincia;exportaciones_mineras_usd;exportaciones_totales_usd;variacion_interanual_pct;fuente
2022-01;San Juan;29000000;;;DNPEM
2022-02;San Juan;97000000;;;DNPEM
2022-03;San Juan;59000000;;;DNPEM
2022-04;San Juan;109000000;;;DNPEM
2022-05;San Juan;86000000;;;DNPEM
2022-06;San Juan;81000000;;;DNPEM
2022-07;San Juan;63000000;;;DNPEM
2022-08;San Juan;76000000;;;DNPEM
2022-09;San Juan;61000000;;;DNPEM
2022-10;San Juan;70000000;;;DNPEM
2022-11;San Juan;67000000;;;DNPEM
2022-12;San Juan;65000000;;;DNPEM
2023-01;San Juan;87000000;;2;DNPEM
2023-02;San Juan;61000000;;-0.371134021;DNPEM
2023-03;San Juan;77000000;;0.305084746;DNPEM
2023-04;San Juan;61000000;;-0.440366973;DNPEM
2023-05;San Juan;84000000;;-0.023255814;DNPEM
2023-06;San Juan;74000000;;-0.086419753;DNPEM
2023-07;San Juan;90000000;;0.428571429;DNPEM
2023-08;San Juan;75000000;;-0.013157895;DNPEM
2023-09;San Juan;49000000;;-0.196721312;DNPEM
2023-10;San Juan;50000000;;-0.285714286;DNPEM
2023-11;San Juan;101000000;;0.507462687;DNPEM
2023-12;San Juan;71000000;;0.092307692;DNPEM
2024-01;San Juan;52000000;;-0.402298851;DNPEM
2024-02;San Juan;74000000;;0.213114754;DNPEM
2024-03;San Juan;43000000;;-0.441558442;DNPEM
2024-04;San Juan;127000000;;1.081967213;DNPEM
2024-05;San Juan;208000000;;1.476190476;DNPEM
2024-06;San Juan;33000000;;-0.554054054;DNPEM
2024-07;San Juan;35000000;;-0.611111111;DNPEM
2024-08;San Juan;305000000;;3.066666667;DNPEM
2024-09;San Juan;91000000;;0.857142857;DNPEM
2024-10;San Juan;181000000;;2.62;DNPEM
2024-11;San Juan;148000000;;0.465346535;DNPEM
2024-12;San Juan;171000000;;1.408450704;DNPEM
2025-01;San Juan;180000000;;2.461538462;DNPEM
2025-02;San Juan;107000000;;0.445945946;DNPEM
2025-03;San Juan;190000000;213483146.1;3.418604651;DNPEM
2025-04;San Juan;131000000;158980582.5;0.031496063;DNPEM
2025-05;San Juan;176000000;201372997.7;-0.153846154;DNPEM
2025-06;San Juan;183000000;206779661;4.545454545;DNPEM
2025-07;San Juan;107000000;141909814.3;2.057142857;DNPEM
2025-08;San Juan;110000000;139593908.6;-0.639344262;DNPEM
2025-09;San Juan;144000000;175609756.1;0.582417582;DNPEM
2025-10;San Juan;154000000;180539273.2;-0.149171271;DNPEM
2025-11;San Juan;135000000;155709342.6;-0.087837838;DNPEM
2025-12;San Juan;141000000;163383545.8;-0.175438597;DNPEM
2026-01;San Juan;233000000;245521601.7;0.294444444;DNPEM
2026-02;San Juan;173000000;195701357.5;0.61682243;DNPEM
2026-03;San Juan;211000000;237345331.8;0.110526316;DNPEM
2026-04;San Juan;233000000;258314855.9;0.778625954;DNPEM
2026-05;San Juan;114000000;141263940.5;-0.352272727;DNPEM
2022-01;Argentina;;;;DNPEM
2022-02;Argentina;;;;DNPEM
2022-03;Argentina;;;;DNPEM
2022-04;Argentina;;;;DNPEM
2022-05;Argentina;;;;DNPEM
2022-06;Argentina;;;;DNPEM
2022-07;Argentina;;;;DNPEM
2022-08;Argentina;;;;DNPEM
2022-09;Argentina;;;;DNPEM
2022-10;Argentina;;;;DNPEM
2022-11;Argentina;;;;DNPEM
2022-12;Argentina;;;;DNPEM
2023-01;Argentina;;;;DNPEM
2023-02;Argentina;;;;DNPEM
2023-03;Argentina;;;;DNPEM
2023-04;Argentina;;;;DNPEM
2023-05;Argentina;;;;DNPEM
2023-06;Argentina;;;;DNPEM
2023-07;Argentina;;;;DNPEM
2023-08;Argentina;;;;DNPEM
2023-09;Argentina;;;;DNPEM
2023-10;Argentina;;;;DNPEM
2023-11;Argentina;;;;DNPEM
2023-12;Argentina;;;;DNPEM
2024-01;Argentina;;;;DNPEM
2024-02;Argentina;;;;DNPEM
2024-03;Argentina;;;;DNPEM
2024-04;Argentina;;;;DNPEM
2024-05;Argentina;;;;DNPEM
2024-06;Argentina;;;;DNPEM
2024-07;Argentina;;;;DNPEM
2024-08;Argentina;;;;DNPEM
2024-09;Argentina;;;;DNPEM
2024-10;Argentina;;;;DNPEM
2024-11;Argentina;;;;DNPEM
2024-12;Argentina;517000000;;;DNPEM
2025-01;Argentina;394000000;;;DNPEM
2025-02;Argentina;337000000;;;DNPEM
2025-03;Argentina;479000000;;;DNPEM
2025-04;Argentina;436000000;;;DNPEM
2025-05;Argentina;447000000;;;DNPEM
2025-06;Argentina;390000000;;;DNPEM
2025-07;Argentina;438000000;;;DNPEM
2025-08;Argentina;424000000;;;DNPEM
2025-09;Argentina;557000000;;;DNPEM
2025-10;Argentina;650000000;;;DNPEM
2025-11;Argentina;519000000;;;DNPEM
2025-12;Argentina;594000000;;0.14893617;DNPEM
2026-01;Argentina;812000000;;1.060913706;DNPEM
2026-02;Argentina;664000000;;0.97032641;DNPEM
2026-03;Argentina;830000000;;0.732776618;DNPEM
2026-04;Argentina;817000000;;0.873853211;DNPEM
2026-05;Argentina;644000000;;0.440715884;DNPEM
2022-01;Santa Cruz;133000000;;;DNPEM
2022-02;Santa Cruz;99000000;;;DNPEM
2022-03;Santa Cruz;193000000;;;DNPEM
2022-04;Santa Cruz;173000000;;;DNPEM
2022-05;Santa Cruz;153000000;;;DNPEM
2022-06;Santa Cruz;154000000;;;DNPEM
2022-07;Santa Cruz;95000000;;;DNPEM
2022-08;Santa Cruz;92000000;;;DNPEM
2022-09;Santa Cruz;203000000;;;DNPEM
2022-10;Santa Cruz;142000000;;;DNPEM
2022-11;Santa Cruz;139000000;;;DNPEM
2022-12;Santa Cruz;145000000;;;DNPEM
2023-01;Santa Cruz;157000000;;0.180451128;DNPEM
2023-02;Santa Cruz;123000000;;0.242424242;DNPEM
2023-03;Santa Cruz;127000000;;-0.341968912;DNPEM
2023-04;Santa Cruz;103000000;;-0.404624278;DNPEM
2023-05;Santa Cruz;132000000;;-0.137254902;DNPEM
2023-06;Santa Cruz;134000000;;-0.12987013;DNPEM
2023-07;Santa Cruz;163000000;;0.715789474;DNPEM
2023-08;Santa Cruz;100000000;;0.086956522;DNPEM
2023-09;Santa Cruz;143000000;;-0.295566503;DNPEM
2023-10;Santa Cruz;104000000;;-0.267605634;DNPEM
2023-11;Santa Cruz;153000000;;0.100719425;DNPEM
2023-12;Santa Cruz;222000000;;0.531034483;DNPEM
2024-01;Santa Cruz;116000000;;-0.261146497;DNPEM
2024-02;Santa Cruz;119000000;;-0.032520325;DNPEM
2024-03;Santa Cruz;184000000;;0.448818898;DNPEM
